09	35114
0a	42413
0d	42413
20	728826
21	2159
22	12021
27	56024
28	392
29	392
2c	53636
2d	1249
2e	34625
2f	21
30	3132
31	16284
32	11477
33	7346
34	5317
35	4385
36	3920
37	3638
38	3415
39	3255
3a	10884
3b	8199
3f	3222
40	7
41	8000
42	2330
43	5528
44	8487
45	6406
46	1915
47	7994
48	598
49	9618
4a	7
4b	356
4c	2835
4d	5064
4e	3503
4f	1679
50	4763
51	2299
52	1658
53	14857
54	2434
55	745
56	1254
57	1
58	4
5a	662
5b	35554
5d	35554
61	366687
62	26818
63	139220
64	131326
65	410025
66	37591
67	71918
68	38776
69	389985
6a	2
6b	746
6c	220705
6d	82289
6e	230770
6f	355822
70	85135
71	15145
72	231437
73	171928
74	201715
75	111993
76	58768
77	18
78	3
79	1
7a	22143
7d	1
bd	11193
bf	11193
ef	11193
